시도,행정구역,산업대,2019 년,2020 년
전국,전체,전체,18743650,17181055
전국,전체,A.농림어업,40577,42559
전국,전체,B.광업,13426,12859
전국,전체,C.제조업,3940319,3763370
전국,전체,D.전기가스,66225,66663
전국,전체,E.수도하수,95515,96373
전국,전체,F.건설업,1471574,1362099
전국,전체,G.도소매업,2601165,2207094
전국,전체,H.운수창고,792672,713377
전국,전체,I.숙박음식,1823149,1312540
전국,전체,J.정보통신,558106,571619
전국,전체,K.금융보험,712658,677711
전국,전체,L.부동산업,449524,412212
전국,전체,M.전문기술,1101433,1116539
전국,전체,N.사업시설,1213870,1132661
전국,전체,P.교육,928341,834702
전국,전체,Q.보건복지,1983018,2100012
전국,전체,R.예술스포츠,337105,247721
전국,전체,S.협회단체,614973,510944
서울특별시,전체,전체,4574965,4303416
서울특별시,전체,A.농림어업,397,362
서울특별시,전체,B.광업,64,58
서울특별시,전체,C.제조업,235804,207006
서울특별시,전체,D.전기가스,6172,5969
서울특별시,전체,E.수도하수,6924,6817
서울특별시,전체,F.건설업,358873,365672
서울특별시,전체,G.도소매업,780482,702263
서울특별시,전체,H.운수창고,176963,171954
서울특별시,전체,I.숙박음식,422520,317583
서울특별시,전체,J.정보통신,350845,361102
서울특별시,전체,K.금융보험,265598,262077
서울특별시,전체,L.부동산업,146063,134964
서울특별시,전체,M.전문기술,478430,483047
서울특별시,전체,N.사업시설,494595,467168
서울특별시,전체,P.교육,246983,229974
서울특별시,전체,Q.보건복지,390366,409848
서울특별시,전체,R.예술스포츠,70715,53825
서울특별시,전체,S.협회단체,143171,123727
서울특별시,종로구,전체,220163,215788
서울특별시,종로구,A.농림어업,18,29
서울특별시,종로구,B.광업,9,8
서울특별시,종로구,C.제조업,9958,8418
서울특별시,종로구,D.전기가스,484,444
서울특별시,종로구,E.수도하수,131,98
서울특별시,종로구,F.건설업,23983,28036
서울특별시,종로구,G.도소매업,31311,28934
서울특별시,종로구,H.운수창고,6628,6825
서울특별시,종로구,I.숙박음식,23327,17191
서울특별시,종로구,J.정보통신,15691,15711
서울특별시,종로구,K.금융보험,23333,25076
서울특별시,종로구,L.부동산업,6148,6052
서울특별시,종로구,M.전문기술,22160,24606
서울특별시,종로구,N.사업시설,18873,17247
서울특별시,종로구,P.교육,10655,10260
서울특별시,종로구,Q.보건복지,17119,18429
서울특별시,종로구,R.예술스포츠,4276,3465
서울특별시,종로구,S.협회단체,6059,4959
서울특별시,중구,전체,673003,595193
서울특별시,중구,A.농림어업,1696,1628
서울특별시,중구,B.광업,347,363
서울특별시,중구,C.제조업,41193,33879
서울특별시,중구,D.전기가스,1594,1431
서울특별시,중구,E.수도하수,1724,1320
서울특별시,중구,F.건설업,25602,23649
서울특별시,중구,G.도소매업,125135,92628
서울특별시,중구,H.운수창고,64190,61872
서울특별시,중구,I.숙박음식,71154,49656
서울특별시,중구,J.정보통신,30332,29997
서울특별시,중구,K.금융보험,73930,70794
서울특별시,중구,L.부동산업,15363,15055
서울특별시,중구,M.전문기술,47605,48329
서울특별시,중구,N.사업시설,71428,65922
서울특별시,중구,P.교육,20497,18966
서울특별시,중구,Q.보건복지,53135,57400
서울특별시,중구,R.예술스포츠,9537,7286
서울특별시,중구,S.협회단체,18541,15018
서울특별시,용산구,전체,120674,113369
서울특별시,용산구,A.농림어업,0,15
서울특별시,용산구,B.광업,0,0
서울특별시,용산구,C.제조업,2422,2226
서울특별시,용산구,D.전기가스,4,22
서울특별시,용산구,E.수도하수,140,98
서울특별시,용산구,F.건설업,7091,5965
서울특별시,용산구,G.도소매업,28670,27165
서울특별시,용산구,H.운수창고,2919,2870
서울특별시,용산구,I.숙박음식,16183,12407
서울특별시,용산구,J.정보통신,9334,9314
서울특별시,용산구,K.금융보험,5068,4319
서울특별시,용산구,L.부동산업,3608,3039
서울특별시,용산구,M.전문기술,15897,16319
서울특별시,용산구,N.사업시설,11207,11700
서울특별시,용산구,P.교육,5145,5289
서울특별시,용산구,Q.보건복지,6945,7647
