행정코드,시도,행정구역,5세별,성별,연월,value
11,서울특별시,전체,100+,남자인구수[명],'12.12월,996
11,서울특별시,전체,100+,여자인구수[명],'12.12월,2930
11110,서울특별시,종로구,0 - 4세,남자인구수[명],'12.12월,2567
11110,서울특별시,종로구,0 - 4세,여자인구수[명],'12.12월,2337
11110,서울특별시,종로구,5 - 9세,남자인구수[명],'12.12월,2811
11110,서울특별시,종로구,5 - 9세,여자인구수[명],'12.12월,2602
11110,서울특별시,종로구,10 - 14세,남자인구수[명],'12.12월,4031
11110,서울특별시,종로구,10 - 14세,여자인구수[명],'12.12월,3762
11110,서울특별시,종로구,15 - 19세,남자인구수[명],'12.12월,5320
11110,서울특별시,종로구,15 - 19세,여자인구수[명],'12.12월,4699
11110,서울특별시,종로구,20 - 24세,남자인구수[명],'12.12월,5820
11110,서울특별시,종로구,20 - 24세,여자인구수[명],'12.12월,5581
11110,서울특별시,종로구,25 - 29세,남자인구수[명],'12.12월,6684
11110,서울특별시,종로구,25 - 29세,여자인구수[명],'12.12월,6321
11110,서울특별시,종로구,30 - 34세,남자인구수[명],'12.12월,6655
11110,서울특별시,종로구,30 - 34세,여자인구수[명],'12.12월,6243
11110,서울특별시,종로구,35 - 39세,남자인구수[명],'12.12월,6058
11110,서울특별시,종로구,35 - 39세,여자인구수[명],'12.12월,6091
11110,서울특별시,종로구,40 - 44세,남자인구수[명],'12.12월,7517
11110,서울특별시,종로구,40 - 44세,여자인구수[명],'12.12월,7585
11110,서울특별시,종로구,45 - 49세,남자인구수[명],'12.12월,6973
11110,서울특별시,종로구,45 - 49세,여자인구수[명],'12.12월,6800
11110,서울특별시,종로구,50 - 54세,남자인구수[명],'12.12월,7373
11110,서울특별시,종로구,50 - 54세,여자인구수[명],'12.12월,7097
11110,서울특별시,종로구,55 - 59세,남자인구수[명],'12.12월,5918
11110,서울특별시,종로구,55 - 59세,여자인구수[명],'12.12월,5877
11110,서울특별시,종로구,60 - 64세,남자인구수[명],'12.12월,4187
11110,서울특별시,종로구,60 - 64세,여자인구수[명],'12.12월,4568
11110,서울특별시,종로구,65 - 69세,남자인구수[명],'12.12월,3556
11110,서울특별시,종로구,65 - 69세,여자인구수[명],'12.12월,4198
11110,서울특별시,종로구,70 - 74세,남자인구수[명],'12.12월,3301
11110,서울특별시,종로구,70 - 74세,여자인구수[명],'12.12월,3823
11110,서울특별시,종로구,75 - 79세,남자인구수[명],'12.12월,1892
11110,서울특별시,종로구,75 - 79세,여자인구수[명],'12.12월,2479
11110,서울특별시,종로구,80 - 84세,남자인구수[명],'12.12월,910
11110,서울특별시,종로구,80 - 84세,여자인구수[명],'12.12월,1510
11110,서울특별시,종로구,85 - 89세,남자인구수[명],'12.12월,402
11110,서울특별시,종로구,85 - 89세,여자인구수[명],'12.12월,783
11110,서울특별시,종로구,90 - 94세,남자인구수[명],'12.12월,194
