기준년월,시도,행정구역,신규구인인원,신규구직건수,취업건수,구인배율,월
20.2월,경상남도,거창군,255,260,121,0.980769231,2월
20.2월,경상남도,합천군,177,352,95,0.502840909,2월
20.2월,제주특별자치도,제주시,1579,2392,1145,0.660117057,2월
20.2월,제주특별자치도,서귀포시,522,968,551,0.539256198,2월
20.2월,경기도,수원시,2440,7739,3100,0.315286213,2월
20.2월,경기도,성남시,2069,5259,1767,0.393420802,2월
20.2월,경기도,안양시,1479,3913,1354,0.377970866,2월
20.2월,경기도,부천시,2049,6486,2098,0.315911193,2월
20.2월,경기도,안산시,2768,5458,2217,0.507145475,2월
20.2월,경기도,고양시,2348,7236,2069,0.324488668,2월
20.2월,경기도,용인시,2484,5678,1844,0.437477985,2월
20.2월,충청북도,청주시,2376,5316,1979,0.446952596,2월
20.2월,충청남도,천안시,2956,4364,1835,0.67736022,2월
20.2월,전라북도,전주시,2506,4864,1879,0.515213816,2월
20.2월,경상북도,포항시,1489,3862,1222,0.385551528,2월
20.2월,경상남도,창원시,3054,8733,2887,0.349708004,2월
20.2월,전국,전체,171462,337691,133249,0.507748208,2월
