기준년,시도,행정구역,직종_중분류,신규구인인원,신규구직건수,취업건수,구인배율
21년,서울특별시,마포구,여행·숙박·오락 서비스직,16,396,109,0.04040404040404041
21년,서울특별시,마포구,음식 서비스직,921,2389,775,0.3855169526998744
21년,서울특별시,마포구,경호·경비직,919,738,317,1.2452574525745257
21년,서울특별시,마포구,돌봄 서비스직(간병·육아),1539,1474,903,1.0440976933514248
21년,서울특별시,마포구,청소 및 기타 개인서비스직,5301,1610,2328,3.292546583850932
21년,서울특별시,마포구,영업·판매직,571,1789,428,0.31917272219116827
21년,서울특별시,마포구,운전·운송직,398,652,207,0.6104294478527608
21년,서울특별시,마포구,건설·채굴직,1039,658,143,1.5790273556231003
21년,서울특별시,마포구,기계 설치·정비·생산직,418,427,131,0.9789227166276346
21년,서울특별시,마포구,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),92,77,18,1.1948051948051948
21년,서울특별시,마포구,전기·전자 설치·정비·생산직,550,439,136,1.2528473804100229
21년,서울특별시,마포구,정보통신 설치·정비직,61,63,23,0.9682539682539683
21년,서울특별시,마포구,화학·환경 설치·정비·생산직,161,46,19,3.5
21년,서울특별시,마포구,섬유·의복 생산직,17,131,18,0.1297709923664122
21년,서울특별시,마포구,식품가공·생산직,76,342,85,0.2222222222222222
21년,서울특별시,마포구,인쇄·목재·공예 및 기타 설치·정비·생산직,73,189,57,0.3862433862433862
21년,서울특별시,마포구,제조 단순직,376,164,54,2.292682926829268
21년,서울특별시,마포구,농림어업직,13,154,55,0.08441558441558442
21년,서울특별시,양천구,관리직(임원·부서장),56,1160,302,0.04827586206896552
21년,서울특별시,양천구,경영·행정·사무직,842,8043,2427,0.10468730573169216
21년,서울특별시,양천구,금융·보험직,36,432,113,0.08333333333333333
21년,서울특별시,양천구,인문·사회과학 연구직,3,38,9,0.07894736842105263
21년,서울특별시,양천구,자연·생명과학 연구직,0,64,22,0.0
21년,서울특별시,양천구,정보통신 연구개발직 및 공학기술직,51,1300,392,0.03923076923076923
21년,서울특별시,양천구,건설·채굴 연구개발직 및 공학기술직,92,417,175,0.22062350119904076
