기준년,시도,행정구역,직종_중분류,신규구인인원,신규구직건수,취업건수,구인배율
21년,경기도,여주시,돌봄 서비스직(간병·육아),460,254,102,1.811023622047244
21년,경기도,여주시,청소 및 기타 개인서비스직,144,609,268,0.23645320197044334
21년,경기도,여주시,영업·판매직,369,361,101,1.0221606648199446
21년,경기도,여주시,운전·운송직,1200,548,195,2.18978102189781
21년,경기도,여주시,건설·채굴직,457,335,113,1.364179104477612
21년,경기도,여주시,기계 설치·정비·생산직,213,185,61,1.1513513513513514
21년,경기도,여주시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),402,109,36,3.688073394495413
21년,경기도,여주시,전기·전자 설치·정비·생산직,308,234,84,1.3162393162393162
21년,경기도,여주시,정보통신 설치·정비직,6,16,2,0.375
21년,경기도,여주시,화학·환경 설치·정비·생산직,208,21,13,9.904761904761905
21년,경기도,여주시,섬유·의복 생산직,39,30,10,1.3
21년,경기도,여주시,식품가공·생산직,174,94,25,1.851063829787234
21년,경기도,여주시,인쇄·목재·공예 및 기타 설치·정비·생산직,278,112,34,2.482142857142857
21년,경기도,여주시,제조 단순직,2589,514,230,5.036964980544747
21년,경기도,여주시,농림어업직,1157,175,75,6.611428571428571
21년,경기도,연천군,관리직(임원·부서장),18,50,13,0.36
21년,경기도,연천군,경영·행정·사무직,501,613,228,0.8172920065252854
21년,경기도,연천군,금융·보험직,1,12,4,0.08333333333333333
21년,경기도,연천군,자연·생명과학 연구직,2,4,5,0.5
21년,경기도,연천군,정보통신 연구개발직 및 공학기술직,3,32,10,0.09375
21년,경기도,연천군,건설·채굴 연구개발직 및 공학기술직,56,18,6,3.111111111111111
21년,경기도,연천군,제조 연구개발직 및 공학기술직,30,22,11,1.3636363636363635
21년,경기도,연천군,교육직,24,71,14,0.3380281690140845
21년,경기도,연천군,법률직,1,5,2,0.2
21년,경기도,연천군,사회복지·종교직,214,192,83,1.1145833333333333
21년,경기도,연천군,경찰·소방·교도직,0,5,1,0.0
21년,경기도,연천군,군인,0,4,1,0.0
21년,경기도,연천군,보건·의료직,77,132,41,0.5833333333333334
21년,경기도,연천군,예술·디자인·방송직,18,58,12,0.3103448275862069
21년,경기도,연천군,스포츠·레크리에이션직,6,12,5,0.5
21년,경기도,연천군,미용·예식 서비스직,1,35,5,0.02857142857142857
21년,경기도,연천군,여행·숙박·오락 서비스직,10,11,3,0.9090909090909091
21년,경기도,연천군,음식 서비스직,174,239,76,0.7280334728033473
21년,경기도,연천군,경호·경비직,7,128,68,0.0546875
21년,경기도,연천군,돌봄 서비스직(간병·육아),302,179,98,1.687150837988827
21년,경기도,연천군,청소 및 기타 개인서비스직,114,226,81,0.504424778761062
21년,경기도,연천군,영업·판매직,82,98,28,0.8367346938775511
21년,경기도,연천군,운전·운송직,177,251,80,0.7051792828685259
21년,경기도,연천군,건설·채굴직,140,252,69,0.5555555555555556
21년,경기도,연천군,기계 설치·정비·생산직,69,90,31,0.7666666666666667
21년,경기도,연천군,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),309,40,13,7.725
21년,경기도,연천군,전기·전자 설치·정비·생산직,13,101,26,0.12871287128712872
21년,경기도,연천군,정보통신 설치·정비직,1,10,3,0.1
21년,경기도,연천군,화학·환경 설치·정비·생산직,111,28,12,3.9642857142857144
21년,경기도,연천군,섬유·의복 생산직,79,20,5,3.95
21년,경기도,연천군,식품가공·생산직,214,36,13,5.944444444444445
21년,경기도,연천군,인쇄·목재·공예 및 기타 설치·정비·생산직,8,67,22,0.11940298507462686
21년,경기도,연천군,제조 단순직,469,236,86,1.9872881355932204
21년,경기도,연천군,농림어업직,263,240,141,1.0958333333333334
21년,경기도,가평군,관리직(임원·부서장),13,123,37,0.10569105691056911
21년,경기도,가평군,경영·행정·사무직,334,937,395,0.35645677694770544
21년,경기도,가평군,금융·보험직,31,37,16,0.8378378378378378
21년,경기도,가평군,인문·사회과학 연구직,0,1,1,0.0
21년,경기도,가평군,자연·생명과학 연구직,3,12,2,0.25
21년,경기도,가평군,정보통신 연구개발직 및 공학기술직,8,61,14,0.13114754098360656
21년,경기도,가평군,건설·채굴 연구개발직 및 공학기술직,104,55,13,1.8909090909090909
21년,경기도,가평군,제조 연구개발직 및 공학기술직,24,77,18,0.3116883116883117
21년,경기도,가평군,교육직,17,63,17,0.2698412698412698
21년,경기도,가평군,법률직,0,6,2,0.0
21년,경기도,가평군,사회복지·종교직,190,276,111,0.6884057971014492
21년,경기도,가평군,경찰·소방·교도직,0,8,1,0.0
21년,경기도,가평군,군인,0,1,0,0.0
21년,경기도,가평군,보건·의료직,100,167,52,0.5988023952095808
21년,경기도,가평군,예술·디자인·방송직,46,143,43,0.32167832167832167
21년,경기도,가평군,스포츠·레크리에이션직,30,31,11,0.967741935483871
21년,경기도,가평군,미용·예식 서비스직,2,50,5,0.04
21년,경기도,가평군,여행·숙박·오락 서비스직,59,121,46,0.48760330578512395
21년,경기도,가평군,음식 서비스직,491,518,207,0.9478764478764479
21년,경기도,가평군,경호·경비직,79,288,155,0.2743055555555556
21년,경기도,가평군,돌봄 서비스직(간병·육아),227,264,139,0.8598484848484849
21년,경기도,가평군,청소 및 기타 개인서비스직,277,607,335,0.45634266886326197
21년,경기도,가평군,영업·판매직,147,237,79,0.620253164556962
21년,경기도,가평군,운전·운송직,108,331,116,0.32628398791540786
21년,경기도,가평군,건설·채굴직,93,269,76,0.34572490706319703
21년,경기도,가평군,기계 설치·정비·생산직,32,80,25,0.4
21년,경기도,가평군,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),19,36,11,0.5277777777777778
21년,경기도,가평군,전기·전자 설치·정비·생산직,19,116,47,0.16379310344827586
21년,경기도,가평군,정보통신 설치·정비직,1,15,1,0.06666666666666667
21년,경기도,가평군,화학·환경 설치·정비·생산직,22,13,7,1.6923076923076923
21년,경기도,가평군,섬유·의복 생산직,0,9,1,0.0
21년,경기도,가평군,식품가공·생산직,112,81,31,1.382716049382716
21년,경기도,가평군,인쇄·목재·공예 및 기타 설치·정비·생산직,34,54,32,0.6296296296296297
21년,경기도,가평군,제조 단순직,61,136,54,0.4485294117647059
21년,경기도,가평군,농림어업직,103,505,275,0.20396039603960395
21년,경기도,양평군,관리직(임원·부서장),76,214,55,0.35514018691588783
21년,경기도,양평군,경영·행정·사무직,327,1492,435,0.21916890080428955
21년,경기도,양평군,금융·보험직,0,23,5,0.0
21년,경기도,양평군,인문·사회과학 연구직,0,4,1,0.0
21년,경기도,양평군,자연·생명과학 연구직,5,14,7,0.35714285714285715
21년,경기도,양평군,정보통신 연구개발직 및 공학기술직,18,104,24,0.17307692307692307
21년,경기도,양평군,건설·채굴 연구개발직 및 공학기술직,97,107,33,0.9065420560747663
21년,경기도,양평군,제조 연구개발직 및 공학기술직,26,104,24,0.25
21년,경기도,양평군,교육직,5,207,37,0.024154589371980676
21년,경기도,양평군,법률직,2,21,7,0.09523809523809523
21년,경기도,양평군,사회복지·종교직,345,509,166,0.6777996070726916
21년,경기도,양평군,경찰·소방·교도직,0,20,1,0.0
21년,경기도,양평군,군인,0,4,0,0.0
21년,경기도,양평군,보건·의료직,300,340,108,0.8823529411764706
21년,경기도,양평군,예술·디자인·방송직,56,298,68,0.18791946308724833
21년,경기도,양평군,스포츠·레크리에이션직,29,35,5,0.8285714285714286
21년,경기도,양평군,미용·예식 서비스직,3,65,8,0.046153846153846156
21년,경기도,양평군,여행·숙박·오락 서비스직,35,82,23,0.4268292682926829
21년,경기도,양평군,음식 서비스직,432,667,169,0.6476761619190404
21년,경기도,양평군,경호·경비직,24,247,106,0.09716599190283401
21년,경기도,양평군,돌봄 서비스직(간병·육아),740,470,247,1.574468085106383
21년,경기도,양평군,청소 및 기타 개인서비스직,251,662,302,0.37915407854984895
21년,경기도,양평군,영업·판매직,80,353,76,0.22662889518413598
21년,경기도,양평군,운전·운송직,139,377,119,0.3687002652519894
21년,경기도,양평군,건설·채굴직,122,388,99,0.31443298969072164
21년,경기도,양평군,기계 설치·정비·생산직,42,149,36,0.28187919463087246
21년,경기도,양평군,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),30,45,12,0.6666666666666666
21년,경기도,양평군,전기·전자 설치·정비·생산직,43,149,39,0.28859060402684567
21년,경기도,양평군,정보통신 설치·정비직,5,19,6,0.2631578947368421
21년,경기도,양평군,화학·환경 설치·정비·생산직,1,14,2,0.07142857142857142
21년,경기도,양평군,섬유·의복 생산직,0,21,5,0.0
21년,경기도,양평군,식품가공·생산직,67,97,28,0.6907216494845361
21년,경기도,양평군,인쇄·목재·공예 및 기타 설치·정비·생산직,11,59,10,0.1864406779661017
21년,경기도,양평군,제조 단순직,222,187,87,1.1871657754010696
21년,경기도,양평군,농림어업직,698,391,204,1.7851662404092072
21년,강원도,춘천시,관리직(임원·부서장),96,795,212,0.12075471698113208
21년,강원도,춘천시,경영·행정·사무직,2665,7959,2221,0.334841060434728
21년,강원도,춘천시,금융·보험직,26,265,55,0.09811320754716982
21년,강원도,춘천시,인문·사회과학 연구직,3,28,12,0.10714285714285714
21년,강원도,춘천시,자연·생명과학 연구직,27,185,48,0.14594594594594595
21년,강원도,춘천시,정보통신 연구개발직 및 공학기술직,185,405,97,0.4567901234567901
21년,강원도,춘천시,건설·채굴 연구개발직 및 공학기술직,309,546,200,0.5659340659340659
21년,강원도,춘천시,제조 연구개발직 및 공학기술직,179,574,192,0.3118466898954704
21년,강원도,춘천시,교육직,105,858,189,0.12237762237762238
21년,강원도,춘천시,법률직,14,82,26,0.17073170731707318
21년,강원도,춘천시,사회복지·종교직,1149,2177,738,0.5277905374368397
21년,강원도,춘천시,경찰·소방·교도직,0,114,14,0.0
21년,강원도,춘천시,군인,0,14,1,0.0
21년,강원도,춘천시,보건·의료직,555,1994,627,0.27833500501504516
21년,강원도,춘천시,예술·디자인·방송직,344,1251,288,0.2749800159872102
21년,강원도,춘천시,스포츠·레크리에이션직,50,242,54,0.2066115702479339
21년,강원도,춘천시,미용·예식 서비스직,45,592,91,0.07601351351351351
21년,강원도,춘천시,여행·숙박·오락 서비스직,65,324,98,0.2006172839506173
21년,강원도,춘천시,음식 서비스직,799,2350,626,0.34
21년,강원도,춘천시,경호·경비직,64,974,305,0.06570841889117043
21년,강원도,춘천시,돌봄 서비스직(간병·육아),725,1480,418,0.48986486486486486
21년,강원도,춘천시,청소 및 기타 개인서비스직,5813,1709,5930,3.401404330017554
21년,강원도,춘천시,영업·판매직,555,1428,333,0.38865546218487396
21년,강원도,춘천시,운전·운송직,547,1186,398,0.4612141652613828
21년,강원도,춘천시,건설·채굴직,339,1524,297,0.22244094488188976
21년,강원도,춘천시,기계 설치·정비·생산직,158,431,124,0.3665893271461717
21년,강원도,춘천시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),35,122,27,0.28688524590163933
21년,강원도,춘천시,전기·전자 설치·정비·생산직,193,746,230,0.2587131367292225
21년,강원도,춘천시,정보통신 설치·정비직,128,151,39,0.847682119205298
21년,강원도,춘천시,화학·환경 설치·정비·생산직,110,113,53,0.9734513274336283
21년,강원도,춘천시,섬유·의복 생산직,5,57,9,0.08771929824561403
21년,강원도,춘천시,식품가공·생산직,235,492,121,0.47764227642276424
21년,강원도,춘천시,인쇄·목재·공예 및 기타 설치·정비·생산직,257,249,147,1.0321285140562249
21년,강원도,춘천시,제조 단순직,760,1075,411,0.7069767441860465
21년,강원도,춘천시,농림어업직,245,885,338,0.2768361581920904
21년,강원도,원주시,관리직(임원·부서장),105,784,218,0.13392857142857142
21년,강원도,원주시,경영·행정·사무직,3052,9617,2829,0.3173546844130186
21년,강원도,원주시,금융·보험직,18,238,59,0.07563025210084033
21년,강원도,원주시,인문·사회과학 연구직,51,21,7,2.4285714285714284
21년,강원도,원주시,자연·생명과학 연구직,15,82,24,0.18292682926829268
21년,강원도,원주시,정보통신 연구개발직 및 공학기술직,114,379,124,0.3007915567282322
21년,강원도,원주시,건설·채굴 연구개발직 및 공학기술직,690,531,264,1.2994350282485876
21년,강원도,원주시,제조 연구개발직 및 공학기술직,438,861,311,0.5087108013937283
21년,강원도,원주시,교육직,245,1070,239,0.22897196261682243
21년,강원도,원주시,법률직,30,102,27,0.29411764705882354
21년,강원도,원주시,사회복지·종교직,1525,2559,909,0.5959359124658069
21년,강원도,원주시,경찰·소방·교도직,0,81,4,0.0
21년,강원도,원주시,군인,0,29,6,0.0
21년,강원도,원주시,보건·의료직,1232,2792,967,0.44126074498567336
21년,강원도,원주시,예술·디자인·방송직,372,988,240,0.3765182186234818
21년,강원도,원주시,스포츠·레크리에이션직,45,216,53,0.20833333333333334
21년,강원도,원주시,미용·예식 서비스직,47,704,117,0.06676136363636363
21년,강원도,원주시,여행·숙박·오락 서비스직,47,172,46,0.27325581395348836
21년,강원도,원주시,음식 서비스직,1032,2661,731,0.3878241262683202
21년,강원도,원주시,경호·경비직,119,966,324,0.12318840579710146
21년,강원도,원주시,돌봄 서비스직(간병·육아),1036,1744,558,0.5940366972477065
21년,강원도,원주시,청소 및 기타 개인서비스직,8990,1584,8756,5.67550505050505
21년,강원도,원주시,영업·판매직,751,1641,396,0.45764777574649607
21년,강원도,원주시,운전·운송직,735,1645,616,0.44680851063829785
21년,강원도,원주시,건설·채굴직,617,1924,559,0.3206860706860707
21년,강원도,원주시,기계 설치·정비·생산직,674,900,329,0.7488888888888889
21년,강원도,원주시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),513,323,142,1.588235294117647
21년,강원도,원주시,전기·전자 설치·정비·생산직,529,1187,458,0.44566133108677336
21년,강원도,원주시,정보통신 설치·정비직,94,191,42,0.49214659685863876
21년,강원도,원주시,화학·환경 설치·정비·생산직,715,230,101,3.108695652173913
21년,강원도,원주시,섬유·의복 생산직,32,78,29,0.41025641025641024
21년,강원도,원주시,식품가공·생산직,350,519,172,0.674373795761079
21년,강원도,원주시,인쇄·목재·공예 및 기타 설치·정비·생산직,173,230,72,0.7521739130434782
21년,강원도,원주시,제조 단순직,1953,2653,964,0.7361477572559367
21년,강원도,원주시,농림어업직,189,710,329,0.2661971830985915
21년,강원도,강릉시,관리직(임원·부서장),76,366,93,0.20765027322404372
21년,강원도,강릉시,경영·행정·사무직,1022,4495,1330,0.22736373748609567
21년,강원도,강릉시,금융·보험직,12,143,25,0.08391608391608392
21년,강원도,강릉시,인문·사회과학 연구직,3,8,2,0.375
21년,강원도,강릉시,자연·생명과학 연구직,12,59,20,0.2033898305084746
21년,강원도,강릉시,정보통신 연구개발직 및 공학기술직,50,175,42,0.2857142857142857
21년,강원도,강릉시,건설·채굴 연구개발직 및 공학기술직,243,392,167,0.6198979591836735
21년,강원도,강릉시,제조 연구개발직 및 공학기술직,157,405,132,0.38765432098765434
21년,강원도,강릉시,교육직,48,454,102,0.10572687224669604
21년,강원도,강릉시,법률직,19,44,7,0.4318181818181818
21년,강원도,강릉시,사회복지·종교직,726,1137,469,0.6385224274406333
21년,강원도,강릉시,경찰·소방·교도직,0,69,6,0.0
21년,강원도,강릉시,군인,0,11,0,0.0
21년,강원도,강릉시,보건·의료직,363,1133,372,0.32038834951456313
21년,강원도,강릉시,예술·디자인·방송직,131,529,130,0.24763705103969755
21년,강원도,강릉시,스포츠·레크리에이션직,31,130,38,0.23846153846153847
21년,강원도,강릉시,미용·예식 서비스직,10,236,31,0.0423728813559322
21년,강원도,강릉시,여행·숙박·오락 서비스직,166,231,70,0.7186147186147186
21년,강원도,강릉시,음식 서비스직,516,1382,381,0.37337192474674386
21년,강원도,강릉시,경호·경비직,98,436,149,0.22477064220183487
21년,강원도,강릉시,돌봄 서비스직(간병·육아),1847,824,1565,2.241504854368932
21년,강원도,강릉시,청소 및 기타 개인서비스직,3686,1435,3519,2.5686411149825785
21년,강원도,강릉시,영업·판매직,326,807,208,0.40396530359355637
21년,강원도,강릉시,운전·운송직,307,855,328,0.35906432748538014
21년,강원도,강릉시,건설·채굴직,379,1075,304,0.35255813953488374
21년,강원도,강릉시,기계 설치·정비·생산직,136,376,152,0.3617021276595745
21년,강원도,강릉시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),264,159,51,1.6603773584905661
21년,강원도,강릉시,전기·전자 설치·정비·생산직,161,535,190,0.30093457943925234
21년,강원도,강릉시,정보통신 설치·정비직,38,87,28,0.4367816091954023
21년,강원도,강릉시,화학·환경 설치·정비·생산직,122,58,30,2.103448275862069
21년,강원도,강릉시,섬유·의복 생산직,2,20,5,0.1
21년,강원도,강릉시,식품가공·생산직,249,232,91,1.0732758620689655
21년,강원도,강릉시,인쇄·목재·공예 및 기타 설치·정비·생산직,35,129,33,0.2713178294573643
21년,강원도,강릉시,제조 단순직,724,582,281,1.2439862542955327
21년,강원도,강릉시,농림어업직,203,1259,595,0.16123907863383638
21년,강원도,동해시,관리직(임원·부서장),14,115,35,0.12173913043478261
21년,강원도,동해시,경영·행정·사무직,331,1878,495,0.17625133120340788
21년,강원도,동해시,금융·보험직,4,34,5,0.11764705882352941
21년,강원도,동해시,인문·사회과학 연구직,0,0,0,0.0
21년,강원도,동해시,자연·생명과학 연구직,1,10,2,0.1
21년,강원도,동해시,정보통신 연구개발직 및 공학기술직,2,67,11,0.029850746268656716
21년,강원도,동해시,건설·채굴 연구개발직 및 공학기술직,75,134,48,0.5597014925373134
21년,강원도,동해시,제조 연구개발직 및 공학기술직,101,196,57,0.5153061224489796
21년,강원도,동해시,교육직,34,183,38,0.18579234972677597
21년,강원도,동해시,법률직,8,10,5,0.8
21년,강원도,동해시,사회복지·종교직,213,542,169,0.3929889298892989
21년,강원도,동해시,경찰·소방·교도직,0,48,3,0.0
21년,강원도,동해시,군인,0,3,1,0.0
21년,강원도,동해시,보건·의료직,211,568,169,0.3714788732394366
21년,강원도,동해시,예술·디자인·방송직,30,177,32,0.1694915254237288
21년,강원도,동해시,스포츠·레크리에이션직,6,52,8,0.11538461538461539
21년,강원도,동해시,미용·예식 서비스직,5,95,13,0.05263157894736842
21년,강원도,동해시,여행·숙박·오락 서비스직,3,41,8,0.07317073170731707
21년,강원도,동해시,음식 서비스직,176,591,171,0.29780033840947545
21년,강원도,동해시,경호·경비직,15,179,62,0.08379888268156424
21년,강원도,동해시,돌봄 서비스직(간병·육아),316,559,122,0.5652951699463328
21년,강원도,동해시,청소 및 기타 개인서비스직,86,351,101,0.245014245014245
21년,강원도,동해시,영업·판매직,101,317,78,0.3186119873817035
21년,강원도,동해시,운전·운송직,102,373,108,0.2734584450402145
21년,강원도,동해시,건설·채굴직,91,657,160,0.1385083713850837
21년,강원도,동해시,기계 설치·정비·생산직,131,180,53,0.7277777777777777
21년,강원도,동해시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),51,125,44,0.408
21년,강원도,동해시,전기·전자 설치·정비·생산직,45,232,81,0.1939655172413793
21년,강원도,동해시,정보통신 설치·정비직,6,20,3,0.3
21년,강원도,동해시,화학·환경 설치·정비·생산직,10,20,9,0.5
21년,강원도,동해시,식품가공·생산직,48,60,26,0.8
21년,강원도,동해시,인쇄·목재·공예 및 기타 설치·정비·생산직,18,23,4,0.782608695652174
21년,강원도,동해시,제조 단순직,281,169,68,1.6627218934911243
21년,강원도,동해시,농림어업직,334,74,27,4.513513513513513
21년,강원도,태백시,관리직(임원·부서장),16,93,32,0.17204301075268819
21년,강원도,태백시,경영·행정·사무직,328,539,154,0.608534322820037
21년,강원도,태백시,금융·보험직,2,17,6,0.11764705882352941
21년,강원도,태백시,인문·사회과학 연구직,0,1,1,0.0
21년,강원도,태백시,자연·생명과학 연구직,7,8,2,0.875
21년,강원도,태백시,정보통신 연구개발직 및 공학기술직,7,18,3,0.3888888888888889
21년,강원도,태백시,건설·채굴 연구개발직 및 공학기술직,21,31,11,0.6774193548387096
21년,강원도,태백시,제조 연구개발직 및 공학기술직,29,35,13,0.8285714285714286
21년,강원도,태백시,교육직,11,39,10,0.28205128205128205
21년,강원도,태백시,법률직,2,5,2,0.4
21년,강원도,태백시,사회복지·종교직,121,117,32,1.0341880341880343
21년,강원도,태백시,경찰·소방·교도직,6,11,1,0.5454545454545454
21년,강원도,태백시,군인,0,1,0,0.0
21년,강원도,태백시,보건·의료직,44,127,32,0.3464566929133858
21년,강원도,태백시,예술·디자인·방송직,1,32,9,0.03125
21년,강원도,태백시,스포츠·레크리에이션직,20,30,13,0.6666666666666666
21년,강원도,태백시,미용·예식 서비스직,0,23,3,0.0
21년,강원도,태백시,여행·숙박·오락 서비스직,10,23,8,0.43478260869565216
21년,강원도,태백시,음식 서비스직,39,204,49,0.19117647058823528
21년,강원도,태백시,경호·경비직,105,131,50,0.8015267175572519
21년,강원도,태백시,돌봄 서비스직(간병·육아),34,63,16,0.5396825396825397
21년,강원도,태백시,청소 및 기타 개인서비스직,64,262,82,0.24427480916030533
21년,강원도,태백시,영업·판매직,92,113,30,0.8141592920353983
21년,강원도,태백시,운전·운송직,9,187,66,0.0481283422459893
21년,강원도,태백시,건설·채굴직,25,243,64,0.102880658436214
21년,강원도,태백시,기계 설치·정비·생산직,72,82,18,0.8780487804878049
21년,강원도,태백시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),20,15,5,1.3333333333333333
21년,강원도,태백시,전기·전자 설치·정비·생산직,42,70,24,0.6
21년,강원도,태백시,정보통신 설치·정비직,8,12,2,0.6666666666666666
21년,강원도,태백시,화학·환경 설치·정비·생산직,25,34,30,0.7352941176470589
21년,강원도,태백시,섬유·의복 생산직,0,4,0,0.0
21년,강원도,태백시,식품가공·생산직,57,36,13,1.5833333333333333
21년,강원도,태백시,인쇄·목재·공예 및 기타 설치·정비·생산직,4,24,7,0.16666666666666666
21년,강원도,태백시,제조 단순직,30,55,18,0.5454545454545454
21년,강원도,태백시,농림어업직,0,324,222,0.0
21년,강원도,속초시,관리직(임원·부서장),38,155,47,0.24516129032258063
21년,강원도,속초시,경영·행정·사무직,288,1383,426,0.20824295010845986
21년,강원도,속초시,금융·보험직,13,54,17,0.24074074074074073
21년,강원도,속초시,인문·사회과학 연구직,0,1,0,0.0
21년,강원도,속초시,자연·생명과학 연구직,0,8,0,0.0
21년,강원도,속초시,정보통신 연구개발직 및 공학기술직,0,41,10,0.0
21년,강원도,속초시,건설·채굴 연구개발직 및 공학기술직,34,93,31,0.3655913978494624
21년,강원도,속초시,제조 연구개발직 및 공학기술직,15,113,49,0.13274336283185842
21년,강원도,속초시,교육직,19,142,33,0.13380281690140844
21년,강원도,속초시,법률직,3,16,4,0.1875
21년,강원도,속초시,사회복지·종교직,164,376,139,0.43617021276595747
21년,강원도,속초시,경찰·소방·교도직,0,23,1,0.0
21년,강원도,속초시,군인,0,2,2,0.0
21년,강원도,속초시,보건·의료직,250,424,240,0.589622641509434
21년,강원도,속초시,예술·디자인·방송직,56,125,30,0.448
21년,강원도,속초시,스포츠·레크리에이션직,1,44,9,0.022727272727272728
21년,강원도,속초시,미용·예식 서비스직,25,72,10,0.3472222222222222
21년,강원도,속초시,여행·숙박·오락 서비스직,42,101,37,0.4158415841584158
21년,강원도,속초시,음식 서비스직,188,516,147,0.3643410852713178
21년,강원도,속초시,경호·경비직,16,144,62,0.1111111111111111
21년,강원도,속초시,돌봄 서비스직(간병·육아),186,339,187,0.5486725663716814
21년,강원도,속초시,청소 및 기타 개인서비스직,2855,550,3202,5.1909090909090905
21년,강원도,속초시,영업·판매직,128,375,86,0.3413333333333333
21년,강원도,속초시,운전·운송직,94,344,109,0.27325581395348836
21년,강원도,속초시,건설·채굴직,40,415,94,0.0963855421686747
21년,강원도,속초시,기계 설치·정비·생산직,30,105,30,0.2857142857142857
21년,강원도,속초시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),0,37,14,0.0
21년,강원도,속초시,전기·전자 설치·정비·생산직,69,154,69,0.44805194805194803
21년,강원도,속초시,정보통신 설치·정비직,15,26,9,0.5769230769230769
21년,강원도,속초시,화학·환경 설치·정비·생산직,9,12,8,0.75
21년,강원도,속초시,섬유·의복 생산직,0,8,3,0.0
21년,강원도,속초시,식품가공·생산직,70,112,69,0.625
21년,강원도,속초시,인쇄·목재·공예 및 기타 설치·정비·생산직,13,15,5,0.8666666666666667
21년,강원도,속초시,제조 단순직,276,123,61,2.2439024390243905
21년,강원도,속초시,농림어업직,54,192,100,0.28125
21년,강원도,삼척시,관리직(임원·부서장),32,78,25,0.41025641025641024
21년,강원도,삼척시,경영·행정·사무직,380,946,277,0.40169133192389006
21년,강원도,삼척시,금융·보험직,9,28,4,0.32142857142857145
21년,강원도,삼척시,인문·사회과학 연구직,0,1,0,0.0
21년,강원도,삼척시,자연·생명과학 연구직,1,7,2,0.14285714285714285
21년,강원도,삼척시,정보통신 연구개발직 및 공학기술직,10,35,7,0.2857142857142857
21년,강원도,삼척시,건설·채굴 연구개발직 및 공학기술직,94,98,35,0.9591836734693877
21년,강원도,삼척시,제조 연구개발직 및 공학기술직,61,92,32,0.6630434782608695
21년,강원도,삼척시,교육직,30,85,20,0.35294117647058826
21년,강원도,삼척시,법률직,1,14,2,0.07142857142857142
21년,강원도,삼척시,사회복지·종교직,230,314,131,0.732484076433121
21년,강원도,삼척시,경찰·소방·교도직,0,21,2,0.0
21년,강원도,삼척시,군인,0,1,0,0.0
21년,강원도,삼척시,보건·의료직,172,270,67,0.6370370370370371
21년,강원도,삼척시,예술·디자인·방송직,13,79,17,0.16455696202531644
21년,강원도,삼척시,스포츠·레크리에이션직,0,34,12,0.0
21년,강원도,삼척시,미용·예식 서비스직,4,36,6,0.1111111111111111
21년,강원도,삼척시,여행·숙박·오락 서비스직,6,30,12,0.2
21년,강원도,삼척시,음식 서비스직,53,500,132,0.106
21년,강원도,삼척시,경호·경비직,13,98,39,0.1326530612244898
21년,강원도,삼척시,돌봄 서비스직(간병·육아),163,238,82,0.6848739495798319
21년,강원도,삼척시,청소 및 기타 개인서비스직,446,712,290,0.6264044943820225
21년,강원도,삼척시,영업·판매직,33,152,40,0.21710526315789475
21년,강원도,삼척시,운전·운송직,56,302,88,0.18543046357615894
21년,강원도,삼척시,건설·채굴직,135,570,152,0.23684210526315788
21년,강원도,삼척시,기계 설치·정비·생산직,29,113,36,0.25663716814159293
21년,강원도,삼척시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),28,95,44,0.29473684210526313
21년,강원도,삼척시,전기·전자 설치·정비·생산직,61,135,52,0.45185185185185184
21년,강원도,삼척시,정보통신 설치·정비직,14,11,6,1.2727272727272727
21년,강원도,삼척시,화학·환경 설치·정비·생산직,27,24,8,1.125
21년,강원도,삼척시,섬유·의복 생산직,11,5,4,2.2
21년,강원도,삼척시,식품가공·생산직,6,32,7,0.1875
21년,강원도,삼척시,인쇄·목재·공예 및 기타 설치·정비·생산직,4,15,2,0.26666666666666666
21년,강원도,삼척시,제조 단순직,47,72,23,0.6527777777777778
21년,강원도,삼척시,농림어업직,57,316,199,0.18037974683544303
21년,강원도,홍천군,관리직(임원·부서장),4,114,32,0.03508771929824561
21년,강원도,홍천군,경영·행정·사무직,242,895,220,0.27039106145251396
21년,강원도,홍천군,금융·보험직,1,28,4,0.03571428571428571
21년,강원도,홍천군,인문·사회과학 연구직,0,5,1,0.0
21년,강원도,홍천군,자연·생명과학 연구직,2,16,3,0.125
21년,강원도,홍천군,정보통신 연구개발직 및 공학기술직,6,31,9,0.1935483870967742
21년,강원도,홍천군,건설·채굴 연구개발직 및 공학기술직,74,57,21,1.2982456140350878
21년,강원도,홍천군,제조 연구개발직 및 공학기술직,47,60,24,0.7833333333333333
21년,강원도,홍천군,교육직,28,77,14,0.36363636363636365
21년,강원도,홍천군,법률직,0,6,5,0.0
21년,강원도,홍천군,사회복지·종교직,146,182,51,0.8021978021978022
