행정코드,시도,행정구역,연월,value
41830,경기도,양평군,'16.12월,111367
42,강원도,전체,'16.12월,1550806
42110,강원도,춘천시,'16.12월,280707
42130,강원도,원주시,'16.12월,337979
42150,강원도,강릉시,'16.12월,213846
42170,강원도,동해시,'16.12월,93297
42190,강원도,태백시,'16.12월,47070
42210,강원도,속초시,'16.12월,81793
42230,강원도,삼척시,'16.12월,69599
42720,강원도,홍천군,'16.12월,70076
42730,강원도,횡성군,'16.12월,45991
42750,강원도,영월군,'16.12월,40073
42760,강원도,평창군,'16.12월,43318
42770,강원도,정선군,'16.12월,38718
42780,강원도,철원군,'16.12월,48013
42790,강원도,화천군,'16.12월,26264
42800,강원도,양구군,'16.12월,24010
42810,강원도,인제군,'16.12월,32720
42820,강원도,고성군,'16.12월,30114
42830,강원도,양양군,'16.12월,27218
43,충청북도,전체,'16.12월,1591625
43110,충청북도,청주시,'16.12월,835197
43111,충청북도,상당구,'16.12월,173701
43112,충청북도,서원구,'16.12월,217120
43113,충청북도,흥덕구,'16.12월,253563
43114,충청북도,청원구,'16.12월,190813
43130,충청북도,충주시,'16.12월,208350
43150,충청북도,제천시,'16.12월,136517
43720,충청북도,보은군,'16.12월,34221
43730,충청북도,옥천군,'16.12월,52267
43740,충청북도,영동군,'16.12월,50552
43745,충청북도,증평군,'16.12월,37308
43750,충청북도,진천군,'16.12월,69950
43760,충청북도,괴산군,'16.12월,38973
43770,충청북도,음성군,'16.12월,97787
43800,충청북도,단양군,'16.12월,30503
44,충청남도,전체,'16.12월,2096727
44130,충청남도,천안시,'16.12월,617955
44131,충청남도,동남구,'16.12월,258919
44133,충청남도,서북구,'16.12월,359036
44150,충청남도,공주시,'16.12월,109931
44180,충청남도,보령시,'16.12월,103873
44200,충청남도,아산시,'16.12월,302929
44210,충청남도,서산시,'16.12월,170788
44230,충청남도,논산시,'16.12월,123213
44250,충청남도,계룡시,'16.12월,42634
44270,충청남도,당진시,'16.12월,166630
44710,충청남도,금산군,'16.12월,54612
44760,충청남도,부여군,'16.12월,70187
44770,충청남도,서천군,'16.12월,56012
44790,충청남도,청양군,'16.12월,32753
44800,충청남도,홍성군,'16.12월,99971
44810,충청남도,예산군,'16.12월,81339
44825,충청남도,태안군,'16.12월,63900
45,전라북도,전체,'16.12월,1864791
45110,전라북도,전주시,'16.12월,651744
45111,전라북도,완산구,'16.12월,361845
45113,전라북도,덕진구,'16.12월,289899
45130,전라북도,군산시,'16.12월,277551
45140,전라북도,익산시,'16.12월,300479
45180,전라북도,정읍시,'16.12월,115173
45190,전라북도,남원시,'16.12월,84188
45210,전라북도,김제시,'16.12월,87782
45710,전라북도,완주군,'16.12월,95480
45720,전라북도,진안군,'16.12월,26069
45730,전라북도,무주군,'16.12월,24949
45740,전라북도,장수군,'16.12월,23628
45750,전라북도,임실군,'16.12월,30197
45770,전라북도,순창군,'16.12월,29949
45790,전라북도,고창군,'16.12월,60597
45800,전라북도,부안군,'16.12월,57005
46,전라남도,전체,'16.12월,1903914
46110,전라남도,목포시,'16.12월,237739
46130,전라남도,여수시,'16.12월,288988
46150,전라남도,순천시,'16.12월,278548
46170,전라남도,나주시,'16.12월,104376
46230,전라남도,광양시,'16.12월,155580
46710,전라남도,담양군,'16.12월,47229
46720,전라남도,곡성군,'16.12월,30400
46730,전라남도,구례군,'16.12월,27412
46770,전라남도,고흥군,'16.12월,67656
46780,전라남도,보성군,'16.12월,44469
46790,전라남도,화순군,'16.12월,65303
46800,전라남도,장흥군,'16.12월,40669
46810,전라남도,강진군,'16.12월,37753
46820,전라남도,해남군,'16.12월,75121
46830,전라남도,영암군,'16.12월,57045
46840,전라남도,무안군,'16.12월,82109
46860,전라남도,함평군,'16.12월,34397
46870,전라남도,영광군,'16.12월,55618
46880,전라남도,장성군,'16.12월,46104
46890,전라남도,완도군,'16.12월,52668
46900,전라남도,진도군,'16.12월,32078
46910,전라남도,신안군,'16.12월,42652
47,경상북도,전체,'16.12월,2700398
47110,경상북도,포항시,'16.12월,516775
47111,경상북도,남구,'16.12월,244748
47113,경상북도,북구,'16.12월,272027
47130,경상북도,경주시,'16.12월,259452
47150,경상북도,김천시,'16.12월,142256
47170,경상북도,안동시,'16.12월,168798
47190,경상북도,구미시,'16.12월,419891
47210,경상북도,영주시,'16.12월,109247
47230,경상북도,영천시,'16.12월,100521
47250,경상북도,상주시,'16.12월,101799
47280,경상북도,문경시,'16.12월,74702
47290,경상북도,경산시,'16.12월,258037
47720,경상북도,군위군,'16.12월,24171
47730,경상북도,의성군,'16.12월,54014
47750,경상북도,청송군,'16.12월,26301
47760,경상북도,영양군,'16.12월,17713
47770,경상북도,영덕군,'16.12월,39052
47820,경상북도,청도군,'16.12월,43564
47830,경상북도,고령군,'16.12월,34257
47840,경상북도,성주군,'16.12월,45205
47850,경상북도,칠곡군,'16.12월,123199
47900,경상북도,예천군,'16.12월,46166
47920,경상북도,봉화군,'16.12월,33539
47930,경상북도,울진군,'16.12월,51738
47940,경상북도,울릉군,'16.12월,10001
48,경상남도,전체,'16.12월,3373871
48120,경상남도,창원시,'16.12월,1063907
48121,경상남도,의창구,'16.12월,252435
48123,경상남도,성산구,'16.12월,231571
48125,경상남도,마산합포구,'16.12월,181797
